PRCP       094063 18910101 20101231 missing_value=99999.9 SORELL (WHITLEA)                          
18910101 18911231   688.7
18920101 18921231   438.5
18930101 18931231   735.1
18940101 18941231   568.8
18950101 18951231   492.2
18960101 18961231   466.1
18970101 18971231   534.8
18980101 18981231   557.4
18990101 18991231   531.6
19000101 19001231   443.5
19010101 19011231   680.6
19020101 19021231   570.6
19030101 19031231   678.9
19040101 19041231   465.4
19050101 19051231   766.4
19060101 19061231   403.9
19070101 19071231   570.1
19080101 19081231   376.9
19090101 19091231   641.3
19100101 19101231   518.7
19110101 19111231   607.8
19120101 19121231   539.2
19130101 19131231   405.9
19140101 19141231   336.5
19150101 19151231   512.5
19160101 19161231   865.5
19170101 19171231   661.7
19180101 19181231   572.9
19190101 19191231   405.9
19200101 19201231   422.4
19210101 19211231   393.1
19220101 19221231   622.0
19230101 19231231   776.4
19240101 19241231   643.8
19250101 19251231   441.1
19260101 19261231   619.2
19270101 19271231   387.4
19280101 19281231   606.5
19290101 19291231   650.0
19300101 19301231   470.9
19310101 19311231   657.8
19320101 19321231   753.8
19330101 19331231   489.6
19340101 19341231   519.2
19350101 19351231   720.3
19360101 19361231   436.5
19370101 19371231   468.7
19380101 19381231   714.0
19390101 19391231   640.2
19400101 19401231   360.4
19410101 19411231   618.7
19420101 19421231   441.3
19430101 19431231   547.6
19440101 19441231   576.1
19450101 19451231   377.6
19460101 19461231   718.6
19470101 19471231   784.3
19480101 19481231   483.4
19490101 19491231   524.5
19500101 19501231   511.4
19510101 19511231   547.3
19520101 19521231   693.9
19530101 19531231   810.9
19540101 19541231   524.2
19550101 19551231   501.7
19560101 19561231   745.2
19570101 19571231   569.3
19580101 19581231   860.9
19590101 19591231   493.2
19600101 19601231   713.7
19610101 19611231   428.6
19620101 19621231   563.5
19630101 19631231   373.4
19640101 19641231   639.9
19650101 19651231   415.4
19660101 19661231   594.7
19670101 19671231   485.4
19680101 19681231   373.8
19690101 19691231   789.9
19700101 19701231   779.1
19710101 19711231   734.4
19720101 19721231   357.5
19730101 19731231   571.9
19740101 19741231   669.6
19750101 19751231   701.6
19760101 19761231   643.9
19770101 19771231   524.6
19780101 19781231   555.0
19790101 19791231   380.8
19800101 19801231   408.8
19810101 19811231   566.2
19820101 19821231   361.7
19830101 19831231   529.0
19840101 19841231   533.6
19850101 19851231   669.9
19860101 19861231   562.9
19870101 19871231   411.2
19880101 19881231   487.4
19890101 19891231   461.2
19900101 19901231   484.0
19910101 19911231   400.7
19920101 19921231   447.0
19930101 19931231   546.8
19940101 19941231   346.6
19950101 19951231   595.8
19960101 19961231   621.4
19970101 19971231   464.0
19980101 19981231   552.6
19990101 19991231   433.0
20000101 20001231   473.4
20010101 20011231   555.4
20020101 20021231   458.8
20030101 20031231   491.2
20040101 20041231   479.5
20050101 20051231   604.4
20060101 20061231   323.6
20070101 20071231   401.0
20080101 20081231   331.4
20090101 20091231   677.2
20100101 20101231   413.4
