station_number,state_code,state_name,country
1000,WA,West Australia,Australia
1001,WA,West Australia,Australia
1002,WA,West Australia,Australia
1003,WA,West Australia,Australia
1004,WA,West Australia,Australia
1005,WA,West Australia,Australia
1006,WA,West Australia,Australia
1007,WA,West Australia,Australia
1008,WA,West Australia,Australia
1009,WA,West Australia,Australia
1010,WA,West Australia,Australia
1011,WA,West Australia,Australia
1012,WA,West Australia,Australia
1013,WA,West Australia,Australia
1014,WA,West Australia,Australia
1015,WA,West Australia,Australia
1016,WA,West Australia,Australia
1017,WA,West Australia,Australia
1018,WA,West Australia,Australia
1019,WA,West Australia,Australia
1020,WA,West Australia,Australia
1021,WA,West Australia,Australia
1022,WA,West Australia,Australia
1023,WA,West Australia,Australia
1024,WA,West Australia,Australia
1025,WA,West Australia,Australia
1026,WA,West Australia,Australia
1027,WA,West Australia,Australia
1028,WA,West Australia,Australia
1029,WA,West Australia,Australia
1030,WA,West Australia,Australia
1031,WA,West Australia,Australia
1032,WA,West Australia,Australia
1033,WA,West Australia,Australia
1034,WA,West Australia,Australia
1035,WA,West Australia,Australia
1036,WA,West Australia,Australia
2000,WA,West Australia,Australia
2001,WA,West Australia,Australia
2002,WA,West Australia,Australia
2003,WA,West Australia,Australia
2004,WA,West Australia,Australia
2005,WA,West Australia,Australia
2006,WA,West Australia,Australia
2007,WA,West Australia,Australia
2008,WA,West Australia,Australia
2009,WA,West Australia,Australia
2010,WA,West Australia,Australia
2011,WA,West Australia,Australia
2012,WA,West Australia,Australia
2013,WA,West Australia,Australia
2014,WA,West Australia,Australia
2015,WA,West Australia,Australia
2016,WA,West Australia,Australia
2017,WA,West Australia,Australia
2018,WA,West Australia,Australia
2019,WA,West Australia,Australia
2020,WA,West Australia,Australia
2021,WA,West Australia,Australia
2022,WA,West Australia,Australia
2023,WA,West Australia,Australia
2024,WA,West Australia,Australia
2025,WA,West Australia,Australia
2026,WA,West Australia,Australia
2027,WA,West Australia,Australia
2028,WA,West Australia,Australia
2029,WA,West Australia,Australia
2030,WA,West Australia,Australia
2031,WA,West Australia,Australia
2032,WA,West Australia,Australia
2033,WA,West Australia,Australia
2034,WA,West Australia,Australia
2035,WA,West Australia,Australia
2036,WA,West Australia,Australia
2037,WA,West Australia,Australia
2038,WA,West Australia,Australia
2039,WA,West Australia,Australia
2040,WA,West Australia,Australia
2041,WA,West Australia,Australia
2042,WA,West Australia,Australia
2043,WA,West Australia,Australia
2044,WA,West Australia,Australia
2045,WA,West Australia,Australia
2046,WA,West Australia,Australia
2047,WA,West Australia,Australia
2048,WA,West Australia,Australia
2049,WA,West Australia,Australia
2050,WA,West Australia,Australia
2051,WA,West Australia,Australia
2052,WA,West Australia,Australia
2053,WA,West Australia,Australia
2054,WA,West Australia,Australia
2055,WA,West Australia,Australia
2056,WA,West Australia,Australia
2057,WA,West Australia,Australia
2058,WA,West Australia,Australia
2059,WA,West Australia,Australia
2060,WA,West Australia,Australia
2061,WA,West Australia,Australia
2062,WA,West Australia,Australia
2063,WA,West Australia,Australia
2064,WA,West Australia,Australia
2065,WA,West Australia,Australia
2066,WA,West Australia,Australia
2067,WA,West Australia,Australia
2068,WA,West Australia,Australia
2069,WA,West Australia,Australia
2070,WA,West Australia,Australia
2071,WA,West Australia,Australia
2072,WA,West Australia,Australia
2073,WA,West Australia,Australia
2074,WA,West Australia,Australia
2075,WA,West Australia,Australia
2076,WA,West Australia,Australia
2077,WA,West Australia,Australia
2078,WA,West Australia,Australia
3000,WA,West Australia,Australia
3001,WA,West Australia,Australia
3002,WA,West Australia,Australia
3003,WA,West Australia,Australia
3004,WA,West Australia,Australia
3005,WA,West Australia,Australia
3006,WA,West Australia,Australia
3007,WA,West Australia,Australia
3008,WA,West Australia,Australia
3009,WA,West Australia,Australia
3010,WA,West Australia,Australia
3011,WA,West Australia,Australia
3012,WA,West Australia,Australia
3013,WA,West Australia,Australia
3014,WA,West Australia,Australia
3015,WA,West Australia,Australia
3016,WA,West Australia,Australia
3017,WA,West Australia,Australia
3018,WA,West Australia,Australia
3019,WA,West Australia,Australia
3020,WA,West Australia,Australia
3021,WA,West Australia,Australia
3022,WA,West Australia,Australia
3023,WA,West Australia,Australia
3024,WA,West Australia,Australia
3025,WA,West Australia,Australia
3026,WA,West Australia,Australia
3027,WA,West Australia,Australia
3028,WA,West Australia,Australia
3029,WA,West Australia,Australia
3030,WA,West Australia,Australia
3031,WA,West Australia,Australia
3032,WA,West Australia,Australia
3033,WA,West Australia,Australia
3034,WA,West Australia,Australia
3035,WA,West Australia,Australia
3036,WA,West Australia,Australia
3037,WA,West Australia,Australia
3038,WA,West Australia,Australia
3039,WA,West Australia,Australia
3040,WA,West Australia,Australia
3041,WA,West Australia,Australia
3042,WA,West Australia,Australia
3043,WA,West Australia,Australia
3044,WA,West Australia,Australia
3045,WA,West Australia,Australia
3046,WA,West Australia,Australia
3047,WA,West Australia,Australia
3048,WA,West Australia,Australia
3049,WA,West Australia,Australia
3050,WA,West Australia,Australia
3051,WA,West Australia,Australia
3052,WA,West Australia,Australia
3053,WA,West Australia,Australia
3054,WA,West Australia,Australia
3055,WA,West Australia,Australia
3056,WA,West Australia,Australia
3057,WA,West Australia,Australia
3058,WA,West Australia,Australia
3059,WA,West Australia,Australia
3060,WA,West Australia,Australia
3061,WA,West Australia,Australia
3062,WA,West Australia,Australia
3063,WA,West Australia,Australia
3064,WA,West Australia,Australia
3065,WA,West Australia,Australia
3066,WA,West Australia,Australia
3067,WA,West Australia,Australia
3068,WA,West Australia,Australia
3069,WA,West Australia,Australia
3070,WA,West Australia,Australia
3071,WA,West Australia,Australia
3072,WA,West Australia,Australia
3073,WA,West Australia,Australia
3074,WA,West Australia,Australia
3075,WA,West Australia,Australia
3076,WA,West Australia,Australia
3077,WA,West Australia,Australia
3078,WA,West Australia,Australia
3079,WA,West Australia,Australia
3080,WA,West Australia,Australia
3081,WA,West Australia,Australia
3082,WA,West Australia,Australia
3083,WA,West Australia,Australia
3084,WA,West Australia,Australia
3085,WA,West Australia,Australia
3086,WA,West Australia,Australia
3087,WA,West Australia,Australia
3088,WA,West Australia,Australia
3089,WA,West Australia,Australia
3090,WA,West Australia,Australia
3091,WA,West Australia,Australia
3092,WA,West Australia,Australia
3093,WA,West Australia,Australia
3094,WA,West Australia,Australia
3095,WA,West Australia,Australia
3096,WA,West Australia,Australia
3097,WA,West Australia,Australia
3098,WA,West Australia,Australia
3099,WA,West Australia,Australia
3100,WA,West Australia,Australia
3101,WA,West Australia,Australia
3102,WA,West Australia,Australia
3103,WA,West Australia,Australia
3104,WA,West Australia,Australia
3105,WA,West Australia,Australia
3106,WA,West Australia,Australia
4000,WA,West Australia,Australia
4001,WA,West Australia,Australia
4002,WA,West Australia,Australia
4003,WA,West Australia,Australia
4004,WA,West Australia,Australia
4005,WA,West Australia,Australia
4006,WA,West Australia,Australia
4007,WA,West Australia,Australia
4008,WA,West Australia,Australia
4009,WA,West Australia,Australia
4010,WA,West Australia,Australia
4011,WA,West Australia,Australia
4012,WA,West Australia,Australia
4013,WA,West Australia,Australia
4014,WA,West Australia,Australia
4015,WA,West Australia,Australia
4016,WA,West Australia,Australia
4017,WA,West Australia,Australia
4018,WA,West Australia,Australia
4019,WA,West Australia,Australia
4020,WA,West Australia,Australia
4021,WA,West Australia,Australia
4022,WA,West Australia,Australia
4023,WA,West Australia,Australia
4024,WA,West Australia,Australia
4025,WA,West Australia,Australia
4026,WA,West Australia,Australia
4027,WA,West Australia,Australia
4028,WA,West Australia,Australia
4029,WA,West Australia,Australia
4030,WA,West Australia,Australia
4031,WA,West Australia,Australia
4032,WA,West Australia,Australia
4033,WA,West Australia,Australia
4034,WA,West Australia,Australia
4035,WA,West Australia,Australia
4036,WA,West Australia,Australia
4037,WA,West Australia,Australia
4038,WA,West Australia,Australia
4039,WA,West Australia,Australia
4040,WA,West Australia,Australia
4041,WA,West Australia,Australia
4042,WA,West Australia,Australia
4043,WA,West Australia,Australia
4044,WA,West Australia,Australia
4045,WA,West Australia,Australia
4046,WA,West Australia,Australia
4047,WA,West Australia,Australia
4048,WA,West Australia,Australia
4049,WA,West Australia,Australia
4050,WA,West Australia,Australia
4051,WA,West Australia,Australia
4052,WA,West Australia,Australia
4053,WA,West Australia,Australia
4054,WA,West Australia,Australia
4055,WA,West Australia,Australia
4056,WA,West Australia,Australia
4057,WA,West Australia,Australia
4058,WA,West Australia,Australia
4059,WA,West Australia,Australia
4060,WA,West Australia,Australia
4061,WA,West Australia,Australia
4062,WA,West Australia,Australia
4063,WA,West Australia,Australia
4064,WA,West Australia,Australia
4065,WA,West Australia,Australia
4066,WA,West Australia,Australia
4067,WA,West Australia,Australia
4068,WA,West Australia,Australia
4069,WA,West Australia,Australia
4070,WA,West Australia,Australia
4071,WA,West Australia,Australia
4072,WA,West Australia,Australia
4073,WA,West Australia,Australia
4074,WA,West Australia,Australia
4075,WA,West Australia,Australia
4076,WA,West Australia,Australia
4077,WA,West Australia,Australia
4078,WA,West Australia,Australia
4079,WA,West Australia,Australia
4080,WA,West Australia,Australia
4081,WA,West Australia,Australia
4082,WA,West Australia,Australia
4083,WA,West Australia,Australia
4084,WA,West Australia,Australia
4085,WA,West Australia,Australia
4086,WA,West Australia,Australia
4087,WA,West Australia,Australia
4088,WA,West Australia,Australia
4089,WA,West Australia,Australia
4090,WA,West Australia,Australia
4091,WA,West Australia,Australia
4092,WA,West Australia,Australia
4093,WA,West Australia,Australia
4094,WA,West Australia,Australia
4095,WA,West Australia,Australia
4096,WA,West Australia,Australia
4097,WA,West Australia,Australia
4098,WA,West Australia,Australia
4099,WA,West Australia,Australia
4100,WA,West Australia,Australia
4101,WA,West Australia,Australia
4102,WA,West Australia,Australia
4103,WA,West Australia,Australia
4104,WA,West Australia,Australia
4105,WA,West Australia,Australia
4106,WA,West Australia,Australia
5000,WA,West Australia,Australia
5001,WA,West Australia,Australia
5002,WA,West Australia,Australia
5003,WA,West Australia,Australia
5004,WA,West Australia,Australia
5005,WA,West Australia,Australia
5006,WA,West Australia,Australia
5007,WA,West Australia,Australia
5008,WA,West Australia,Australia
5009,WA,West Australia,Australia
5010,WA,West Australia,Australia
5011,WA,West Australia,Australia
5012,WA,West Australia,Australia
5013,WA,West Australia,Australia
5014,WA,West Australia,Australia
5015,WA,West Australia,Australia
5016,WA,West Australia,Australia
5017,WA,West Australia,Australia
5018,WA,West Australia,Australia
5019,WA,West Australia,Australia
5020,WA,West Australia,Australia
5021,WA,West Australia,Australia
5022,WA,West Australia,Australia
5023,WA,West Australia,Australia
5024,WA,West Australia,Australia
5025,WA,West Australia,Australia
