station_number,lat,long,station_name,year,tmax
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1910,22.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1911,22.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1912,22.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1913,22.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1914,24.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1915,22.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1916,22.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1917,21.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1918,22.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1919,23.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1920,22.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1921,23.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1922,23.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1923,22.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1924,21.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1925,22.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1926,22.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1927,22.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1928,22.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1929,22.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1930,23.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1931,21.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1932,22.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1933,22.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1934,22.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1935,22.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1936,22.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1937,22.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1938,23.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1939,22.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1940,23.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1941,22.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1942,23.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1943,22.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1944,22.8
