station_number,lat,long,station_name,year,tmean
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1910,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1911,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1912,15.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1913,15.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1914,17.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1915,16.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1916,15.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1917,15.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1918,15.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1919,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1920,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1921,16.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1922,16.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1923,15.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1924,15.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1925,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1926,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1927,15.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1928,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1929,15.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1930,16.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1931,15.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1932,15.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1933,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1934,16.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1935,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1936,15.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1937,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1938,16.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1939,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1940,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1941,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1942,16.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1943,15.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1944,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1945,15.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1946,15.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1947,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1948,15.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1949,15.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1950,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1951,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1952,15.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1953,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1954,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1955,16.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1956,15.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1957,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1958,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1959,16.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1960,16.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1961,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1962,16.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1963,16.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1964,15.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1965,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1966,15.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1967,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1968,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1969,15.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1970,15.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1971,15.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1972,16.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1973,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1974,15.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1975,16.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1976,15.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1977,16.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1978,15.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1979,16.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1980,16.5
