station_number,lat,long,station_name,year,tmin
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1910,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1911,9.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1912,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1913,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1914,10.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1915,9.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1916,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1917,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1918,8.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1919,8.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1920,8.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1921,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1922,8.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1923,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1924,8.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1925,8.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1926,9.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1927,8.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1928,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1929,8.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1930,10.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1931,8.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1932,8.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1933,8.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1934,9.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1935,9.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1936,9.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1937,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1938,9.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1939,9.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1940,8.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1941,8.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1942,9.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1943,8.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1944,8.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1945,8.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1946,8.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1947,9.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1948,8.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1949,8.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1950,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1951,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1952,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1953,9.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1954,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1955,9.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1956,9.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1957,8.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1958,9.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1959,9.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1960,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1961,9.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1962,9.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1963,10.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1964,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1965,9.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1966,8.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1967,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1968,9.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1969,9.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1970,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1971,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1972,9.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1973,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1974,10.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1975,10.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1976,8.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1977,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1978,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1979,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1980,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1981,10.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1982,9.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1983,10.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1984,8.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1985,9.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1986,9.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1987,9.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1988,10.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1989,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1990,10.1
