,station_number,lat,long,station_name,country,year,tmean,tmax,tmin_x,tmin_y,tmin,rainfall
0,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1910,14.6,19.8,9.5,9.5,9.5,
1,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1911,14.6,19.6,9.7,9.7,9.7,
2,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1912,14.6,19.5,9.6,9.6,9.6,
3,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1913,14.6,19.1,10.1,10.1,10.1,
4,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1914,14.9,19.4,10.5,10.5,10.5,
5,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1915,15.3,19.6,10.9,10.9,10.9,
6,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1916,14.8,19.6,10.0,10.0,10.0,
7,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1917,14.1,18.5,9.8,9.8,9.8,
8,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1918,15.3,19.8,10.9,10.9,10.9,
9,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1919,14.5,19.3,9.7,9.7,9.7,
10,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1920,15.1,19.6,10.6,10.6,10.6,
11,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1921,15.6,20.0,11.1,11.1,11.1,
12,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1922,14.4,18.9,9.8,9.8,9.8,
13,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1923,14.7,19.0,10.4,10.4,10.4,
14,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1924,14.5,19.0,10.0,10.0,10.0,
15,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1925,14.4,18.4,10.4,10.4,10.4,
16,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1926,14.5,18.9,10.2,10.2,10.2,
17,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1927,14.6,19.1,10.2,10.2,10.2,
18,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1928,14.6,19.0,10.1,10.1,10.1,
19,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1929,14.3,18.6,9.9,9.9,9.9,
20,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1930,15.3,20.0,10.5,10.5,10.5,
21,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1931,14.6,19.0,10.1,10.1,10.1,
22,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1932,14.9,19.5,10.3,10.3,10.3,
23,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1933,15.1,20.0,10.3,10.3,10.3,
24,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1934,15.3,20.0,10.5,10.5,10.5,
25,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1935,14.5,19.1,9.8,9.8,9.8,
26,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1936,15.1,19.5,10.6,10.6,10.6,
27,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1937,15.0,19.7,10.3,10.3,10.3,
28,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1938,14.9,19.5,10.2,10.2,10.2,
29,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1939,15.0,19.6,10.3,10.3,10.3,
30,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1940,15.1,20.1,10.1,10.1,10.1,
